MARKER1,MARKER2,POSITION
298,M9993,0.00
485,M15647,1.79
145,M4417,3.72
90,M2630,4.81
563,M17784,5.97
759,M24499,6.95
88,M2611,8.98
555,M17466,10.88
561,M17701,12.15
1387,M44492,13.21
1177,M37835,15.09
156,M4918,16.29
450,M14456,18.07
69,M2339,22.19
560,M17693,24.46
1197,M38316,25.23
884,M28965,28.07
149,M4705,31.09
1365,M43736,42.43
559,M17625,44.25
1225,M39018,45.67
550,M17245,48.21
1420,M45542,55.32
439,M14198,59.84
99,M2975,65.57
1409,M45310,68.57
851,M27920,80.04
606,M18982,82.27
195,M6478,84.65
1240,M39689,86.88
179,M5828,90.11
1334,M42843,92.19
281,M9569,94.61
462,M14937,98.86
214,M7371,99.61
860,M28130,100.86
1351,M43393,102.42
1102,M35716,104.58
1085,M35254,106.61
582,M18305,108.17
384,M12722,109.90
451,M14563,111.04
1298,M41441,111.88
430,M13820,113.28
552,M17323,115.04
594,M18638,118.10
366,M12171,121.04
445,M14347,123.02
1245,M39777,126.74
509,M16294,129.39
625,M19475,130.43
1285,M40961,132.44
1062,M34477,134.64
614,M19117,136.88
1310,M41751,138.18
1289,M41168,140.90
456,M14780,147.34
36,M1099,148.44
781,M25444,150.48
1412,M45347,152.27
25,M792,159.70
673,M21126,162.34
403,M13195,165.25
66,M1904,167.34
601,M18947,169.15
1000,M32634,170.66
423,M13607,171.81
779,M25431,173.67
556,M17494,175.32
690,M21718,178.65
467,M15045,182.14
1233,M39339,187.35
838,M27441,192.21
466,M15018,194.46
1343,M43120,197.97
579,M18239,200.88
442,M14280,206.45
75,M2436,209.43
917,M29994,210.41
638,M19880,213.23
406,M13258,216.73
39,M1178,218.74
806,M26244,220.63
707,M22382,222.65
966,M31516,225.57
530,M16869,228.61
1093,M35500,230.71
1171,M37391,237.76
1261,M40240,240.69
376,M12548,248.18
399,M13107,308.31
