MARKER,SD,MISSING
M40014,0.923076923,26
M40016,1.302631579,25
M40054,0.763975155,21
M40063,0.977142857,6
M40097,4.796610169,5
M40114,2.453488372,10
M40120,1.688888889,4
M40148,11.52631579,9
M40173,2.602649007,27
M40205,5.815286624,23
M40240,0.103448276,9
M40259,1.574712644,7
M40296,5.666666667,23
M40399,1.397727273,6
M40424,1.609756098,15
M40427,1.324675325,24
M40482,1.579881657,15
M40497,0.473684211,10
M40547,4.677852349,29
M40606,4,6
M40610,2.506329114,22
M40649,0.607142857,14
M40653,4.081761006,21
M40655,2.987654321,18
M40663,1.272108844,31
M40697,0.409638554,13
M40771,2.725490196,27
M40778,1.945454545,15
M40821,0.226190476,12
M40912,3.883435583,15
M40934,0,16
M40939,2.597701149,9
M40945,3.706666667,28
M40961,8.817073171,17
M41004,7.552941176,11
M41022,1.390804598,8
M41086,3.283783784,33
M41168,9.380368098,17
M41201,1.736842105,27
M41225,4.056179775,5
M41238,9.842105263,8
M41250,2.892857143,11
M41274,6.25974026,26
M41355,2.157894737,11
M41370,3.123595506,6
M41377,12.58108108,32
M41441,9.072727273,13
M41457,5.988505747,10
M41461,2.656804734,12
M41555,3.412121212,16
M41592,10.70860927,28
M41646,0.869822485,14
M41651,8.141242938,3
M41686,0.766081871,11
M41742,2.573170732,18
M41749,3.265822785,21
M41751,6,11
M41797,9.9,20
M41813,3.185185185,18
M41939,6.769230769,26
M41962,6.48603352,4
M41971,4.792207792,26
M42098,3.357541899,5
M42204,3.951219512,17
M42246,2.544303797,19
M42253,1.894736842,27
M42333,7.2,20
M42365,6.363128492,4
M42368,8.195530726,5
M42376,9.852272727,7
M42383,6.151898734,20
M42519,5.895705521,20
M42526,1.404624277,9
M42548,5.125,4
M42611,2.681818182,6
M42671,3.836363636,14
M42682,9.729281768,3
M42819,2.348571429,6
M42843,5.731428571,6
M42863,2.380952381,14
M42932,1.633333333,4
M42954,1.617449664,32
M42965,9.745341615,19
M42992,1.072727273,13
M43025,1.027027027,31
M43035,2.072847682,27
M43114,1.388235294,9
M43120,1.662162162,31
M43133,1.192090395,6
M43147,4.426829268,17
M43275,4.917647059,11
M43297,4.355555556,3
M43310,1.244186047,9
M43325,2.590909091,7
M43339,3.402597403,27
M43393,8.204819277,14
M43442,2.082352941,9
M43519,4.303867403,3
M43537,4.690607735,3
M43602,10.37430168,4
M43606,0.923076923,23
M43633,1.898734177,23
M43646,0.640449438,5
M43655,3.32183908,7
M43660,7.107784431,12
M43687,12.73006135,17
M43716,0.551282051,23
M43736,3.280701754,11
M43767,7.282208589,18
M43779,0.463687151,3
M43791,0.152542373,7
M43796,4.786163522,23
M43830,3.689655172,6
M43874,4.643312102,20
M43900,0.801169591,10
M43921,6.408284024,11
M43982,3.174496644,29
M44052,3.134228188,29
M44056,4.39869281,24
M44057,6.723756906,2
M44064,1.127388535,22
M44084,7.217948718,23
M44219,13.06779661,6
M44272,1.795321637,8
M44321,2.959459459,32
M44329,0.86163522,20
M44423,0.88,30
M44448,3.730769231,22
M44471,4.595505618,4
M44492,6.972972973,31
M44509,2.640718563,16
M44516,1.670454545,8
M44528,6.463087248,30
M44579,2.382716049,18
M44600,7.729411765,12
M44648,1.797385621,25
M44679,4.042944785,16
M44741,7.282208589,17
M44760,1.979591837,33
M44765,1.49689441,18
M44863,3.847457627,6
M44931,5.230769231,24
M45057,3.0375,21
M45086,1.849162011,3
M45094,1.5,18
M45176,5.125,7
M45201,3.359281437,13
M45219,5.711864407,6
M45310,3.195402299,8
M45315,6.303370787,5
M45333,2.375722543,8
M45347,12.05882353,13
M45348,0.727810651,13
M45362,5.013605442,32
M45375,0.6375,19
M45383,0.814569536,27
M45528,5.091428571,7
M45532,0.86440678,6
M45542,2.615384615,25
M45557,1.218181818,15
M45654,4.813333333,28
M45702,1.011428571,6
M45745,2.031446541,22
M45753,3.186335404,18
M45812,4.114942529,7
