MARKER,SD,MISSING
M9666,3.106666667,29
M9704,3.48447205,20
M9740,0.421052632,27
M9741,9.106508876,13
M9779,11,33
M9817,1.63583815,8
M9836,3.432098765,16
M9860,6.418918919,31
M9928,6.293413174,13
M9935,3.797687861,10
M9938,1.853503185,21
M9954,5.698795181,15
M9977,5.959064327,10
M9993,9.235955056,6
M10002,0.378531073,7
M10050,1.361581921,6
M10052,1.993288591,30
M10115,0.124183007,26
M10119,1.773480663,3
M10167,1.373493976,15
M10176,1.064102564,23
M10207,2.047619048,11
M10253,2.620915033,26
M10307,4.928994083,13
M10332,2.105590062,19
M10385,9.467532468,24
M10390,0.931034483,7
M10409,4.12849162,5
M10430,3.649350649,26
M10506,0.355263158,27
M10510,0.211764706,13
M10521,10.51162791,11
M10524,1.280254777,23
M10644,8.904761905,14
M10659,0.711111111,3
M10697,3.12244898,31
M10718,3.494117647,11
M10732,8.482758621,7
M10814,2.933774834,26
M10822,0.428571429,13
M10891,2.202614379,24
M10984,2.345454545,17
M11013,4.450980392,26
M11060,3.6,12
M11071,4.796407186,15
M11130,4.044025157,23
M11169,2.825581395,11
M11170,3.382165605,24
M11199,4.616766467,14
M11291,2.805714286,5
M11333,4.975609756,17
M11357,0.474285714,8
M11427,3.104651163,10
M11428,6.39869281,25
M11465,11.52631579,29
M11493,1.431372549,27
M11505,9.13253012,14
M11529,0.215909091,7
M11580,7.12345679,16
M11595,3.596273292,19
M11619,7.033149171,2
M11622,4.114942529,9
M11681,4.220338983,5
M11704,3.658959538,11
M11715,9.178343949,22
M11723,10.75690608,2
M11759,3.15483871,24
M11771,1.896103896,27
M11803,0.785310734,6
M11856,4.796407186,15
M11929,0.631578947,27
M11969,0.108433735,15
M11991,4.58490566,21
M12045,0.053254438,13
M12067,9.469798658,30
M12072,2.285714286,13
M12126,4.368421053,10
M12128,5.181818182,7
M12129,4.755555556,4
M12171,12.70909091,15
M12234,3.108433735,15
M12272,4.717647059,10
M12275,2.672316384,3
M12296,1.640883978,2
M12350,7.447058824,10
M12433,4.703225806,27
M12452,1.295857988,14
M12512,0.901098901,1
M12538,1.280898876,5
M12548,0.313953488,9
M12549,0.754385965,10
M12574,0.566878981,23
M12578,1.844720497,19
M12623,0.76,30
M12647,4.787709497,5
M12663,1.576470588,12
M12722,11,13
M12726,3.454545455,7
M12758,6.432098765,18
M12780,3.619354839,25
M12783,4.317919075,8
M12866,1.82208589,16
M12903,2.229885057,8
M12915,6.759036145,14
M12922,6.34591195,21
M12957,3.706586826,13
M12965,4.641618497,9
M12995,3.178343949,26
M13006,3.273809524,13
M13010,1.927152318,27
M13109,3.755813953,11
M13144,2.651162791,10
M13178,3.949152542,7
M13195,4.228070175,10
M13234,0.74025974,26
M13250,0.857142857,26
M13258,1.24516129,25
M13280,1.466666667,3
M13287,3.952380952,14
M13290,3.451219512,18
M13299,0.592814371,12
M13337,0.638709677,23
M13357,8.770700637,21
M13376,0.409638554,14
M13430,3.179640719,14
M13438,4.905882353,11
M13443,6.586592179,5
M13499,4.893491124,10
M13504,4.569060773,3
M13574,2.220125786,19
M13580,0.702380952,13
M13607,1.530612245,29
M13623,0.044444444,4
M13722,0.529411765,26
M13758,4.247058824,12
M13810,3.013422819,29
M13811,0.2,11
M13820,11.94047619,13
M13825,1.417582418,2
M13891,1.049079755,15
M13970,10.25748503,12
M13973,0.333333333,26
M13999,3.125,6
M14027,0.818181818,8
M14068,0.552795031,19
M14139,0.292517007,31
M14198,2.472527473,1
M14214,11.52287582,26
M14240,1.719101124,5
M14280,0.87804878,15
