MARKER,SD,MISSING
56,1.372881356,7
58,5.037267081,23
71,2.1375,24
102,19.12987013,30
205,2.098265896,11
232,2.920529801,33
248,5.083832335,17
354,0.668639053,15
356,0.707602339,13
368,8.016949153,7
405,0.653846154,28
407,11.47741935,29
437,0.904761905,16
471,2.805714286,9
494,2.157894737,13
539,4.4,4
551,6.898876404,6
552,0.965116279,12
630,3.6,24
661,0.337278107,15
679,8.844155844,30
684,1.068571429,9
696,5.337209302,12
741,6.972972973,36
792,0.842424242,19
822,10.62921348,6
929,6.628742515,17
948,0.136363636,8
949,0.683544304,26
965,1.01183432,15
968,9.646706587,17
977,2.852272727,8
991,2.222222222,4
1055,1.036144578,18
1091,1.013513514,36
1099,7.727272727,19
1122,4.454545455,8
1130,2.236363636,19
1178,0.72,34
1227,8.367231638,7
1298,0.936305732,27
1321,4.71257485,17
1369,7.223529412,14
1377,2.453488372,12
1394,3.6375,24
1425,8.097560976,20
1436,5.603351955,5
1446,5.490566038,25
1492,1.026845638,35
1496,41.67096774,29
1510,2.571428571,16
1526,0.699346405,31
1565,3.789473684,32
1627,0.462857143,9
1635,4.298850575,10
1654,2.552795031,23
1664,3.770949721,5
1665,1.63803681,21
1678,2.324324324,36
1684,2.428571429,16
1708,11.15189873,26
1789,0.355263158,32
1800,4.102040816,37
1843,1.93081761,25
1877,5.902857143,9
1904,4.37037037,22
2145,6.85620915,31
2223,2,18
2339,9.988235294,14
2345,47.64444444,4
2348,26.70238095,16
2369,6.607843137,31
2371,3.619354839,29
2407,1.490066225,33
2436,1.437869822,15
2465,4.892215569,17
2477,0.647058824,31
2478,1.062111801,23
2487,4.636363636,8
2517,0.858823529,14
2519,6.039473684,32
2585,2.403726708,23
2589,1.943181818,8
2591,3.944785276,21
2593,0.86163522,25
2599,3.619354839,29
2607,3.941860465,12
2611,7.375757576,19
2616,7.379310345,10
2630,2.324324324,36
2636,3.438202247,6
2661,3.142857143,30
2754,5.898734177,26
2760,5.792682927,20
2791,3.384615385,28
2886,4.029585799,15
2936,4.063291139,26
2973,2.641618497,11
2975,2.6375,24
2981,2.714285714,30
3043,3.256097561,20
3098,3.4375,24
3103,0.973333333,34
3164,2.035714286,16
3179,3.271186441,7
3188,7.363636364,8
3199,12.1409396,35
3266,1.373493976,18
3281,1.61627907,12
3318,0.292682927,20
3322,1.24516129,29
3341,2.862068966,10
3372,5.294117647,14
3431,4.355932203,7
3438,7.584795322,13
3442,0.503355705,35
3462,1.024242424,19
3501,44.33742331,21
3513,6.344632768,7
3536,0.719745223,27
3540,2.590909091,8
3541,0.727810651,15
3615,4.595505618,6
3651,3.011560694,11
3669,1.075471698,25
3676,4.435582822,21
3731,1.8,14
3759,1.813559322,7
3786,2.378378378,36
3828,2.965317919,11
3839,0.12,34
3957,1.8,19
3997,0.370786517,6
4002,0.744444444,4
4025,3.619883041,13
4068,2.91025641,28
4070,6.769230769,28
4080,0.21686747,18
4099,2.16,34
4153,2.474285714,9
4220,1.205714286,9
4260,0.938650307,21
4272,2.373333333,34
4300,4.089820359,17
4417,8.345454545,19
4499,2.756756757,36
4638,1.517647059,14
4687,0.473684211,13
4705,8.74025974,30
4738,1.736842105,13
4741,61.30508475,7
4763,3.802259887,7
4767,1.899408284,15
4904,1.824858757,7
4917,13.05586592,5
4918,10.94318182,8
5009,0.842105263,32
5021,10.125,8
5031,0.689189189,36
5064,5.764044944,6
5129,4.168831169,30
5157,4.703225806,29
5194,2.329411765,14
5201,2.529411765,31
5226,15.81987578,23
5299,7.518987342,26
5302,0.602484472,23
5331,15.07741935,29
5354,1.768361582,7
5369,7.11299435,7
5407,4.298850575,10
5415,0.593023256,12
5437,1.468571429,9
5474,0.511904762,16
5532,4.136094675,15
5625,15.28571429,30
5801,5.369047619,16
5817,3.379310345,10
5828,10.09459459,36
5841,12.78651685,6
5892,1.682080925,11
5902,10.13207547,25
5942,1.08988764,6
5946,9.756097561,20
6084,4.38961039,30
6166,8.116564417,21
6178,0.865771812,35
6180,1.849673203,31
6222,4.028901734,11
6388,1.134228188,35
6391,6.439490446,27
6403,8.640449438,6
6466,5.756097561,20
6468,1.945945946,36
6478,9.422857143,9
6504,7.490322581,29
6548,0.508571429,9
6635,2.474285714,9
6650,10.68715084,5
6683,15.04081633,37
6699,2.543624161,35
6764,0.668639053,15
6773,0.66442953,35
6892,4.755555556,4
6905,6.028248588,7
6947,5.604938272,22
6949,0.497005988,17
7006,4.229813665,23
7136,1.194285714,9
7189,0.195266272,15
7255,4.2375,24
7270,0.421052632,32
7287,9.653061224,37
7371,11.80701754,13
7381,0.933701657,3
7450,4.729411765,14
7463,2.224719101,6
