MARKER1,MARKER2,SD,MISSING,APER,BPER,ABPER
129,3786,2.378378378,36,30.4,22.3,47.3
130,3828,2.965317919,11,20.2,23.7,56.1
131,3839,0.12,34,26.0,25.3,48.7
132,3957,1.8,19,20.6,25.5,53.9
133,3997,0.370786517,6,24.2,23.6,52.2
134,4002,0.744444444,4,27.8,23.9,48.3
135,4025,3.619883041,13,18.7,27.5,53.8
136,4068,2.91025641,28,29.5,19.9,50.6
137,4070,6.769230769,28,21.2,18.6,60.3
138,4080,0.21686747,18,26.5,24.1,49.4
139,4099,2.16,34,30.0,22.0,48.0
140,4153,2.474285714,9,20.6,24.0,55.4
141,4220,1.205714286,9,28.6,23.4,48.0
142,4260,0.938650307,21,22.1,24.5,53.4
143,4272,2.373333333,34,20.7,23.3,56.0
144,4300,4.089820359,17,18.6,25.1,56.3
145,4417,8.345454545,19,16.4,23.6,60.0
146,4499,2.756756757,36,22.3,20.9,56.8
147,4638,1.517647059,14,22.4,22.9,54.7
148,4687,0.473684211,13,22.8,26.3,50.9
149,4705,8.74025974,30,17.5,20.8,61.7
150,4738,1.736842105,13,24.6,21.1,54.4
151,4741,61.30508475,7,13.6,7.3,79.1
152,4763,3.802259887,7,29.4,19.2,51.4
153,4767,1.899408284,15,21.3,23.7,55.0
154,4904,1.824858757,7,20.9,24.9,54.2
155,4917,13.05586592,5,16.2,20.7,63.1
156,4918,10.94318182,8,16.5,21.6,61.9
157,5009,0.842105263,32,27.6,22.4,50.0
158,5021,10.125,8,14.8,26.7,58.5
159,5031,0.689189189,36,23.6,23.0,53.4
160,5064,5.764044944,6,20.2,20.8,59.0
161,5129,4.168831169,30,18.2,25.3,56.5
162,5157,4.703225806,29,24.5,18.1,57.4
163,5194,2.329411765,14,20.6,28.8,50.6
164,5201,2.529411765,31,19.6,25.5,54.9
165,5226,15.81987578,23,21.7,13.7,64.6
166,5299,7.518987342,26,18.4,20.9,60.8
167,5302,0.602484472,23,22.4,26.1,51.6
168,5331,15.07741935,29,14.8,20.0,65.2
169,5354,1.768361582,7,27.7,20.9,51.4
170,5369,7.11299435,7,17.5,31.6,50.8
171,5407,4.298850575,10,19.5,23.0,57.5
172,5415,0.593023256,12,22.7,26.7,50.6
173,5437,1.468571429,9,24.0,21.7,54.3
174,5474,0.511904762,16,25.6,22.6,51.8
175,5532,4.136094675,15,18.3,26.0,55.6
176,5625,15.28571429,30,26.6,11.7,61.7
177,5801,5.369047619,16,17.3,27.4,55.4
178,5817,3.379310345,10,19.0,27.0,54.0
179,5828,10.09459459,36,20.3,16.9,62.8
180,5841,12.78651685,6,23.6,14.6,61.8
181,5892,1.682080925,11,27.2,20.8,52.0
182,5902,10.13207547,25,15.7,22.6,61.6
183,5942,1.08988764,6,24.7,21.9,53.4
184,5946,9.756097561,20,18.9,18.9,62.2
185,6084,4.38961039,30,20.8,20.8,58.4
186,6166,8.116564417,21,15.3,28.2,56.4
187,6178,0.865771812,35,27.5,22.1,50.3
188,6180,1.849673203,31,20.3,26.1,53.6
189,6222,4.028901734,11,23.1,19.7,57.2
190,6388,1.134228188,35,22.8,22.8,54.4
191,6391,6.439490446,27,18.5,21.7,59.9
192,6403,8.640449438,6,16.9,23.0,60.1
193,6466,5.756097561,20,17.1,29.3,53.7
194,6468,1.945945946,36,20.9,23.6,55.4
195,6478,9.422857143,9,21.7,17.1,61.1
196,6504,7.490322581,29,15.5,28.4,56.1
197,6548,0.508571429,9,25.7,26.9,47.4
198,6635,2.474285714,9,24.0,20.6,55.4
199,6650,10.68715084,5,15.6,23.5,60.9
200,6683,15.04081633,37,11.6,32.7,55.8
201,6699,2.543624161,35,22.8,20.8,56.4
202,6764,0.668639053,15,24.9,22.5,52.7
203,6773,0.66442953,35,25.5,22.1,52.3
204,6892,4.755555556,4,19.4,22.8,57.8
205,6905,6.028248588,7,24.9,17.5,57.6
206,6947,5.604938272,22,19.8,21.0,59.3
207,6949,0.497005988,17,24.0,23.4,52.7
208,7006,4.229813665,23,18.0,26.7,55.3
209,7136,1.194285714,9,21.7,27.4,50.9
210,7189,0.195266272,15,23.7,24.9,51.5
211,7255,4.2375,24,20.6,21.3,58.1
212,7270,0.421052632,32,23.7,23.7,52.6
213,7287,9.653061224,37,25.9,14.3,59.9
214,7371,11.80701754,13,22.8,15.2,62.0
215,7381,0.933701657,3,23.2,23.2,53.6
216,7450,4.729411765,14,18.8,23.5,57.6
217,7463,2.224719101,6,20.8,28.7,50.6
218,7489,1.491017964,17,21.0,25.7,53.3
219,7618,0.966101695,7,24.9,22.0,53.1
220,7646,9.91011236,6,19.1,19.1,61.8
221,7648,6.23566879,27,26.1,16.6,57.3
222,7659,0.21686747,18,24.1,24.1,51.8
223,7665,7.295857988,15,24.9,16.6,58.6
224,7725,0.150837989,5,24.0,24.6,51.4
225,7758,1.891719745,27,20.4,25.5,54.1
226,7764,4.905405405,36,17.6,25.0,57.4
227,7777,0.948051948,30,22.7,23.4,53.9
228,7787,7.915662651,18,15.7,29.5,54.8
229,7790,0.471264368,10,23.0,24.7,52.3
230,7846,2.403508772,13,19.9,26.3,53.8
231,7863,3.409090909,8,19.3,25.0,55.7
232,7948,0.231707317,20,23.8,24.4,51.8
233,7990,11.92903226,29,18.1,18.1,63.9
234,8015,3.67114094,35,22.1,20.1,57.7
235,8060,11.9039548,7,26.0,14.1,59.9
236,8074,2.656441718,21,20.2,23.9,55.8
237,8167,1.908045977,10,23.0,21.8,55.2
238,8174,12.52795031,23,13.7,24.8,61.5
239,8239,0.460122699,21,22.7,25.8,51.5
240,8263,3.754285714,9,24.0,19.4,56.6
241,8265,1,32,23.7,22.4,53.9
242,8363,46.08433735,18,35.5,2.4,62.0
243,8373,0.333333333,31,24.2,23.5,52.3
244,8377,12.66666667,34,33.3,13.3,53.3
245,8381,5.541935484,29,21.3,19.4,59.4
246,8386,7.231213873,11,16.2,27.2,56.6
247,8427,3.777070064,27,28.7,18.5,52.9
248,8487,1.457831325,18,21.7,28.3,50.0
249,8519,5.675496689,33,17.9,23.2,58.9
250,8564,2.185185185,22,20.4,28.4,51.2
251,8571,8.19047619,16,27.4,15.5,57.1
252,8624,6.988826816,5,22.9,17.9,59.2
253,8676,7.848837209,12,33.7,19.2,47.1
254,8689,0.428571429,30,23.4,24.0,52.6
255,8697,41.26900585,13,35.7,4.1,60.2
256,8709,3.034285714,9,28.0,19.4,52.6
257,8717,1.356321839,10,21.3,27.0,51.7
258,8764,1.207317073,20,21.3,26.8,51.8
259,8835,2.291925466,23,26.1,19.9,54.0
260,8862,1.407407407,22,28.4,25.9,45.7
261,8904,2.1375,24,20.0,26.9,53.1
262,8953,13.42458101,5,17.9,18.4,63.7
263,8961,9.834285714,9,16.6,22.3,61.1
264,8971,3.531073446,7,21.5,21.5,57.1
265,8973,2,20,24.4,20.7,54.9
266,9018,3.759493671,26,27.8,18.4,53.8
267,9037,4.569060773,3,19.3,23.2,57.5
268,9046,5.56097561,20,18.3,23.2,58.5
269,9060,4.263157895,13,24.6,18.7,56.7
270,9098,2.00591716,15,21.3,29.0,49.7
271,9149,1.717647059,14,28.2,21.2,50.6
272,9179,3.891891892,36,18.2,29.1,52.7
273,9225,0.191011236,6,23.6,25.3,51.1
274,9295,3.074074074,22,19.8,24.1,56.2
275,9306,2.254658385,23,19.9,26.7,53.4
276,9422,8.810810811,36,19.6,18.2,62.2
277,9444,7.974025974,30,21.4,17.5,61.0
278,9482,5.670807453,23,24.8,17.4,57.8
279,9489,1.715083799,5,21.8,23.5,54.7
280,9529,5.365714286,9,18.9,22.9,58.3
281,9569,7.408163265,37,22.4,17.0,60.5
282,9601,9.426035503,15,14.8,29.0,56.2
283,9604,0.593023256,12,23.3,23.8,52.9
284,9666,3.106666667,34,30.7,20.7,48.7
285,9704,3.48447205,23,18.6,27.3,54.0
